date,vix_open,vix_high,vix_low,vix_close,vix_prev_close,vix_change,vix_pct_change,nifty_open,nifty_high,nifty_low,nifty_close,nifty_prev_close,nifty_change,nifty_pct_change,vix_sma_5,vix_sma_10,vix_sma_20,vix_sma_50,vix_ema_9,vix_ema_21,vix_bb_upper,vix_bb_mid,vix_bb_lower,vix_bb_width,vix_bb_pct_b,vix_atr14,vix_atr14_pct,vix_rsi14,vix_zscore20,vix_roc_1,vix_roc_5,vix_roc_10,vix_roc_20,vix_intraday_range_pts,vix_intraday_range_pct,vix_vol_of_vol10,regime,regime_num,regime_streak,vix_hist_pct,nifty_sma_20,nifty_sma_50,nifty_daily_return,nifty_vol20,vix_nifty_corr20,vix_nifty_ratio,nifty_drawdown_pct
2026-07-21,12.9800,13.0800,12.1000,12.6000,12.9800,-0.3800,-2.9276,24216.0500,24262.2000,24135.6500,24187.7000,24238.5000,-50.8000,-0.2096,12.9760,13.2200,13.0295,,12.9848,13.2641,14.5784,13.0295,11.4806,0.2377,0.3613,1.4601,11.5880,38.1600,-0.5546,-2.9276,-8.3636,8.1545,-1.8692,0.9800,7.7778,10.1673,NORMAL,2,10,23.4000,24111.0900,,-0.2096,12.2243,-0.8236,0.5209,-0.9932
2026-07-22,12.6000,13.4300,11.7300,13.2900,12.6000,0.6900,5.4762,24150.4500,24166.3000,23961.4000,23996.2500,24187.7000,-191.4500,-0.7915,12.9800,13.0810,12.9970,,13.0459,13.2665,14.4918,12.9970,11.5022,0.2300,0.5980,1.4772,11.1153,42.7900,0.3920,5.4762,0.1507,-9.4687,-4.6628,1.7000,12.7916,5.6906,NORMAL,2,11,29.9000,24119.7000,,-0.7915,11.8200,-0.8088,0.5538,-1.7769
2026-07-23,13.2900,13.7400,12.9200,13.4800,13.2900,0.1900,1.4296,23904.8000,23990.7500,23807.2000,23869.6000,23996.2500,-126.6500,-0.5278,13.1000,13.0930,13.0015,,13.1327,13.2859,14.5018,13.0015,11.5012,0.2308,0.6595,1.4303,10.6104,44.0400,0.6379,1.4296,4.6584,0.8982,0.6721,0.8200,6.0831,4.9368,NORMAL,2,12,31.8000,24112.0900,,-0.5278,11.5956,-0.8010,0.5647,-2.2953
2026-07-24,13.4800,14.7700,13.1800,14.0300,13.4800,0.5500,4.0801,23666.3500,23823.6000,23606.3000,23767.4500,23869.6000,-102.1500,-0.4280,13.2760,13.2710,13.0505,,13.3121,13.3535,14.6199,13.0505,11.4811,0.2405,0.8121,1.4417,10.2757,47.5800,1.2483,4.0801,6.6920,14.5306,7.5096,1.5900,11.3329,4.0372,NORMAL,2,13,37.3000,24097.6600,,-0.4280,11.6601,-0.8197,0.5903,-2.7134
2026-07-27,14.0300,14.3300,12.6000,12.6600,14.0300,-1.3700,-9.7648,23928.4000,24011.6000,23891.5500,23995.9500,23767.4500,228.5000,0.9614,13.2120,13.2090,13.0030,,13.1817,13.2905,14.5585,13.0030,11.4475,0.2393,0.3897,1.4623,11.5504,40.6700,-0.4410,-9.7648,-2.4653,-4.6687,-6.9802,1.7300,13.6651,4.6017,NORMAL,2,14,23.9000,24100.1500,,0.9614,12.0952,-0.7888,0.5276,-1.7781
2026-07-28,12.6600,12.8200,11.7200,12.5600,12.6600,-0.1000,-0.7899,23971.2500,24041.1500,23954.6000,23985.3500,23995.9500,-10.6000,-0.0442,13.2040,13.0900,12.9510,,13.0574,13.2241,14.4919,12.9510,11.4101,0.2380,0.3731,1.4364,11.4363,40.2100,-0.5075,-0.7899,-0.3175,-8.6545,-7.6471,1.1000,8.7580,4.3909,NORMAL,2,15,23.0000,24106.1300,,-0.0442,12.0276,-0.7485,0.5237,-1.8215
2026-07-29,12.5600,12.5600,11.5600,12.0100,12.5600,-0.5500,-4.3790,24176.6500,24283.5500,24136.7500,24250.2000,23985.3500,264.8500,1.1042,12.9480,12.9640,12.8895,,12.8479,13.1137,14.4793,12.8895,11.2997,0.2467,0.2234,1.4052,11.7005,37.6900,-1.1064,-4.3790,-9.6313,-9.4951,-9.2900,1.0000,8.3264,4.4595,NORMAL,2,16,18.1000,24118.3500,,1.1042,12.4782,-0.7545,0.4953,-0.7374
2026-07-30,12.0100,12.3200,11.3000,12.1600,12.0100,0.1500,1.2490,24249.5500,24342.9500,24187.1000,24317.1500,24250.2000,66.9500,0.2761,12.6840,12.8920,12.8830,,12.7103,13.0270,14.4841,12.8830,11.2819,0.2486,0.2742,1.3777,11.3299,38.8100,-0.9031,1.2490,-9.7923,-5.5901,-1.0578,1.0200,8.3882,4.4435,NORMAL,2,17,19.4000,24125.4200,,0.2761,12.2706,-0.7676,0.5001,-0.4634
2026-07-31,12.1600,12.2100,11.6500,11.7600,12.1600,-0.4000,-3.2895,24361.4500,24429.4000,24299.7000,24383.6000,24317.1500,66.4500,0.2733,12.2300,12.7530,12.8810,,12.5203,12.9118,14.4879,12.8810,11.2741,0.2495,0.1512,1.3193,11.2186,36.9000,-1.3952,-3.2895,-16.1796,-10.5703,-0.3390,0.5600,4.7619,4.4226,COMPLACENT,1,1,16.1000,24131.0600,,0.2733,12.2309,-0.7850,0.4823,-0.1914
2026-08-03,11.7600,12.0600,11.7000,11.9300,11.7600,0.1700,1.4456,24572.7000,24774.3000,24515.1500,24774.3000,24383.6000,390.7000,1.6023,12.0840,12.6480,12.8865,,12.4022,12.8226,14.4788,12.8865,11.2942,0.2471,0.1996,1.2508,10.4844,38.2900,-1.2014,1.4456,-5.7662,-8.0894,0.9306,0.3600,3.0176,4.4882,COMPLACENT,1,2,17.4000,24148.2500,,1.6023,13.2919,-0.7417,0.4815,0.0000
2026-08-04,11.9300,12.5500,11.4300,12.1900,11.9300,0.2600,2.1794,24703.9000,24703.9000,24427.9500,24614.9000,24774.3000,-159.4000,-0.6434,12.0100,12.6070,12.9135,,12.3598,12.7651,14.4342,12.9135,11.3928,0.2355,0.2621,1.2414,10.1841,40.4600,-0.9515,2.1794,-2.9459,-3.2540,4.6352,1.1200,9.1879,4.5030,NORMAL,2,1,19.7000,24159.0600,,-0.6434,13.5191,-0.7303,0.4952,-0.6434
2026-08-05,12.1900,12.6700,10.8100,12.0600,12.1900,-0.1300,-1.0664,24669.2000,24677.6000,24497.9500,24624.6500,24614.9000,9.7500,0.0396,12.0200,12.4840,12.7825,,12.2998,12.7010,14.1004,12.7825,11.4646,0.2062,0.2259,1.2856,10.6602,39.7100,-1.0965,-1.0664,0.4163,-9.2551,-17.8474,1.8600,15.4229,4.0314,NORMAL,2,2,18.5000,24196.2000,,0.0396,10.8401,-0.7469,0.4898,-0.6041
2026-08-06,12.0600,12.4300,10.1000,12.1600,12.0600,0.1000,0.8292,24641.0000,24677.0500,24604.1500,24636.0000,24624.6500,11.3500,0.0461,12.0200,12.3520,12.7225,,12.2718,12.6518,14.0389,12.7225,11.4061,0.2069,0.2864,1.3602,11.1860,40.6200,-0.8546,0.8292,0.0000,-9.7923,-8.9820,2.3300,19.1612,3.9973,NORMAL,2,3,19.4000,24229.8600,,0.0461,10.8244,-0.7451,0.4936,-0.5582
2026-08-07,12.1600,12.5500,11.3000,12.1600,12.1600,0.0000,0.0000,24538.9000,24630.4000,24522.7500,24570.6500,24636.0000,-65.3500,-0.2653,12.1000,12.1650,12.7180,,12.2495,12.6071,14.0418,12.7180,11.3942,0.2082,0.2892,1.3523,11.1213,40.6200,-0.8430,0.0000,3.4014,-13.3286,-0.7347,1.2500,10.2796,3.6169,NORMAL,2,4,19.4000,24248.0400,,-0.2653,10.3943,-0.7703,0.4949,-0.8220
2026-08-10,12.1600,12.9200,10.8200,12.2500,12.1600,0.0900,0.7401,24581.2500,24620.9500,24511.1000,24583.8000,24570.6500,13.1500,0.0535,12.1640,12.1240,12.6665,13.4620,12.2496,12.5746,13.9783,12.6665,11.3547,0.2071,0.3413,1.4058,11.4755,41.5400,-0.6350,0.7401,2.6823,-3.2385,-7.7560,2.1000,17.1429,2.1198,NORMAL,2,5,20.2000,24266.6800,24004.4800,0.0535,10.3923,-0.7841,0.4983,-0.7689
2026-08-11,12.2500,12.4600,11.1900,11.8600,12.2500,-0.3900,-3.1837,24575.1000,24576.8500,24429.2500,24471.7000,24583.8000,-112.1000,-0.4560,12.0980,12.0540,12.5720,13.3684,12.1717,12.5097,13.8262,12.5720,11.3178,0.1995,0.2162,1.3961,11.7711,38.7300,-1.1353,-3.1837,-2.7071,-5.5732,-13.7455,1.2700,10.7083,2.3072,COMPLACENT,1,1,16.9000,24287.6600,24026.2600,-0.4560,10.2273,-0.7925,0.4846,-1.2214
2026-08-12,11.8600,12.0900,11.2600,11.6900,11.8600,-0.1700,-1.4334,24472.4500,24473.3000,24265.9500,24435.9500,24471.7000,-35.7500,-0.1461,12.0240,12.0220,12.4930,13.2950,12.0753,12.4351,13.7611,12.4930,11.2249,0.2030,0.1834,1.3556,11.5964,37.5400,-1.2665,-1.4334,-3.0680,-2.6644,-11.9066,0.8300,7.1001,1.9190,COMPLACENT,1,2,15.5000,24305.5400,24045.3100,-0.1461,10.2605,-0.7783,0.4784,-1.3657
2026-08-13,11.6900,12.2000,10.6500,11.4200,11.6900,-0.2700,-2.3097,24431.6000,24431.6000,24311.4000,24395.8500,24435.9500,-40.1000,-0.1641,11.8760,11.9480,12.4200,13.1978,11.9443,12.3429,13.7603,12.4200,11.0797,0.2158,0.1270,1.3695,11.9922,35.6600,-1.4922,-2.3097,-6.0855,-6.0855,-11.3354,1.5500,13.5727,1.9394,COMPLACENT,1,3,13.4000,24321.6900,24065.1100,-0.1641,10.2906,-0.7439,0.4681,-1.5276
2026-08-14,11.4200,11.5600,10.8300,11.3100,11.4200,-0.1100,-0.9632,24361.9000,24405.2000,24296.8000,24366.0000,24395.8500,-29.8500,-0.1224,11.7060,11.9030,12.3280,13.1062,11.8174,12.2490,13.7093,12.3280,10.9467,0.2241,0.1315,1.3238,11.7049,34.8900,-1.4740,-0.9632,-6.9901,-3.8265,-13.9924,0.7300,6.4545,1.7078,COMPLACENT,1,4,12.5000,24323.2800,24084.1000,-0.1224,9.5745,-0.7364,0.4642,-1.6481
2026-08-17,11.3100,11.7800,11.0900,11.3300,11.3100,0.0200,0.1768,24343.4500,24360.1000,24226.9500,24287.6500,24366.0000,-78.3500,-0.3216,11.5220,11.8430,12.2455,13.0170,11.7199,12.1654,13.6596,12.2455,10.8314,0.2310,0.1763,1.2786,11.2847,35.1700,-1.2949,0.1768,-7.5102,-5.0293,-12.7119,0.6900,6.0900,1.6012,COMPLACENT,1,5,12.6000,24325.7400,24102.5200,-0.3216,9.5376,-0.6958,0.4665,-1.9643
2026-08-18,11.3300,11.7900,10.1400,11.3900,11.3300,0.0600,0.5296,24223.8500,24269.6500,24154.9000,24154.9000,24287.6500,-132.7500,-0.5466,11.4280,11.7630,12.1850,12.9042,11.6539,12.0949,13.6382,12.1850,10.7318,0.2385,0.2265,1.3051,11.4582,36.0300,-1.0941,0.5296,-3.9629,-6.5628,-9.6032,1.6500,14.4864,1.3611,COMPLACENT,1,6,13.1000,24324.1000,24123.1600,-0.5466,9.7148,-0.6255,0.4715,-2.5002
